---------------------
> Operational Maximums:
Gas/Tx: 9930000 units
---------------------
Id:   0	Serial:   0	Score: 100	Gas:   342090
Id: 127	Serial: 127	Score:  60	Gas:   444090
Id: 128	Serial: 128	Score:  62	Gas:   444090
Id: 129	Serial: 129	Score:  62	Gas:   444090
Id: 130	Serial: 130	Score:  60	Gas:   444090
Id: 131	Serial: 131	Score:  63	Gas:   444090
Id: 132	Serial: 132	Score:  62	Gas:   444090
Id: 133	Serial: 133	Score:  67	Gas:   444090
Id: 134	Serial: 134	Score:  62	Gas:   444090
Id: 135	Serial: 135	Score:  63	Gas:   444090
Id: 136	Serial: 136	Score:  67	Gas:   444090
Id: 137	Serial: 137	Score:  64	Gas:   444090
Id: 138	Serial: 138	Score:  62	Gas:   444090
Id: 139	Serial: 139	Score:  64	Gas:   444090
Id: 140	Serial: 140	Score:  65	Gas:   444090
Id: 141	Serial: 141	Score:  74	Gas:   444090
Id: 142	Serial: 142	Score:  78	Gas:   444090
Id: 143	Serial: 143	Score:  69	Gas:   444090
Id: 144	Serial: 144	Score:  75	Gas:   444090
Id: 145	Serial: 145	Score:  49	Gas:   444090
Id: 146	Serial: 146	Score:  66	Gas:   444090
Id: 147	Serial: 147	Score:  64	Gas:   444090
Id: 148	Serial: 148	Score:  64	Gas:   444090
Id: 149	Serial: 149	Score:  64	Gas:   444090
Id: 150	Serial: 150	Score:  66	Gas:   444090
Id: 151	Serial: 151	Score:  60	Gas:   444090
Id: 152	Serial: 152	Score:  63	Gas:   444090
Id: 153	Serial: 153	Score:  65	Gas:   444090
Id: 154	Serial: 154	Score:  60	Gas:   444090
Id: 155	Serial: 155	Score:  63	Gas:   444090
Id: 156	Serial: 156	Score:  62	Gas:   444090
Id: 157	Serial: 157	Score:  65	Gas:   444090
Id: 158	Serial: 158	Score:  60	Gas:   444090
Id: 159	Serial: 159	Score:  67	Gas:   444090
Id: 160	Serial: 160	Score:  60	Gas:   444090
Id: 161	Serial: 161	Score:  65	Gas:   444090
Id: 162	Serial: 162	Score:  61	Gas:   444090
Id: 163	Serial: 163	Score:  61	Gas:   444090
Id: 164	Serial: 164	Score:  60	Gas:   444090
Id: 165	Serial: 165	Score:  62	Gas:   444090
Id: 166	Serial: 166	Score:  71	Gas:   444090
Id: 167	Serial: 167	Score:  64	Gas:   444090
Id: 168	Serial: 168	Score:  62	Gas:   444090
Id: 169	Serial: 169	Score:  68	Gas:   444090
Id: 170	Serial: 170	Score:  60	Gas:   444090
Id: 171	Serial: 171	Score:  61	Gas:   444090
Id: 172	Serial: 172	Score:  61	Gas:   444090
Id: 173	Serial: 173	Score:  11	Gas:   444090
Id: 174	Serial: 174	Score:  63	Gas:   444090
Id: 175	Serial: 175	Score:  67	Gas:   444090
Id: 176	Serial: 176	Score:  60	Gas:   444090
Id: 177	Serial: 177	Score:  61	Gas:   444090
Id: 178	Serial: 178	Score:  66	Gas:   444090
Id: 179	Serial: 179	Score:  62	Gas:   444090
Id: 180	Serial: 180	Score:  70	Gas:   444090
Id: 181	Serial: 181	Score:  64	Gas:   444090
Id: 182	Serial: 182	Score:  61	Gas:   444090
Id: 183	Serial: 183	Score:  61	Gas:   444090
Id: 184	Serial: 184	Score:  60	Gas:   444090
Id: 185	Serial: 185	Score:  64	Gas:   444090
Id: 186	Serial: 186	Score:  68	Gas:   444090
Id: 187	Serial: 187	Score:  68	Gas:   444090
Id: 188	Serial: 188	Score:  61	Gas:   444090
Id: 189	Serial: 189	Score:  62	Gas:   444090
Id: 190	Serial: 190	Score:  61	Gas:   444090
Id: 191	Serial: 191	Score:  63	Gas:   444090
Id: 192	Serial: 192	Score:  61	Gas:   444090
Id: 193	Serial: 193	Score:  63	Gas:   444090
Id: 194	Serial: 194	Score:  61	Gas:   444090
Id: 195	Serial: 195	Score:  60	Gas:   444090
Id: 196	Serial: 196	Score:  64	Gas:   444090
Id: 197	Serial: 197	Score:  64	Gas:   444090
Id: 198	Serial: 198	Score:  59	Gas:   444090
Id: 199	Serial: 199	Score:  69	Gas:   444090
---------------------
> Total Expenditure
Gas Used: 86495550 units	Gas Price: 1000000000 wei	Gas Cost: 0.08649555 ether
---------------------
